Wallet,AmountUsd
0xaf2358e98683265cbd3a48509123d390ddf54534, 27.09511732758730591357052378112222
0x8e5ca1872062bee63b8a46493f6de36d4870ff88, 20.82598231767234706973197900624046
0x9adea960e2e41725fff6f0951c790bd6257dfb68, 28.548045023692430749175482020617
0x836b50c2d4494c9963832e8a790d429350998198, 29.84988938917460877940999288382693
0x6925fc4c77c5824ea899cfd4c5102d689d6859d6, 30.1768800266251553113639447447887
0x850d763e533d4367348f03fd775b5cdd7dac41dd, 30.72909502999546749860817287394016
0x08abf976fe94867f56f722f51a1573ed60d85031, 32.93973817890238620410757602118832
0xdfc9b13bd2dc0afc13e3a81466bad5a6b3f15451, 38.60913581346961192690695708168884
0xf8f970116b1afd4925b6938fca9b5faf9166f48e, 59.68057944939801907997789044502934
0xf8f970116b1afd4925b6938fca9b5faf9166f48e, 0.2103848857122639574769775775723347
0x86deb15d66445552ad76b634ba35d94c20714cfb, 213.697309493534814449805284371916
0x4206db5b280263877f5374304d226b0b69605868, 105.9151455997645880520819359077117
0x089f21e15937e68f60fc8a16ac9ab000c014a6a4, 213.2515836367972047822747010211177
0x2d9df1699055b8a407745e87a57146f2bd0bdfea, 213.1859913133326294742377796528666
0x5bfc0f02fca8b80db0b9a307318d1d734203802d, 213.3205798717915977655953349804394
0x1ae19bf8008996f76d906055fac44f5d33216b71, 213.3932520455584115261517287209352
0x5635975219bb39abc3ffb17d6d75865957b8c2a0, 213.4699019644144758124070830233391
0xaa80a8bdb76fa4ef24da181542297d2965e8927f, 212.2537264747326882874552074704367
0x644819c60a0232953c003e603daa0d5f235f8e14, 212.3081109253530954661629756761004
0xc00e43d94b1b3b2ef36eaaf08133c585b91ec5fe, 212.202679074850750018527999503173
0x86deb15d66445552ad76b634ba35d94c20714cfb, 212.9860281972660724788228471554257
0x2074c07bdf5233e1a076c75cf6f8fd67bfbad581, 212.2278051390175991873955944754779
0xbf714b6804faafebaa10a5672f2bac298a188ac6, 212.2804814461507502108213359708389
0xd350044e87a7ce167f524f2e137925060f3e190d, 52.79389050588180559805903633006652
0x4206db5b280263877f5374304d226b0b69605868, 105.8773163644030886266624838285088
0x69e67aad5495a48c4ef3f770d93a99935e1dc90d, 211.9821544408877643107266812916035
0xebe336529eaed72f51780e2016d9b903d910b8a9, 211.4450787235826654059054281288178
0x0fba98d3a08b27885db8414254a302087ae0295f, 21.00694242060291724383512541872124
0xe029df1c50d772a0c54e2ed57f4ff992f2744bcb, 71.47691877807065809375875911959861
0xe029df1c50d772a0c54e2ed57f4ff992f2744bcb, 90.40493117542702835568587763717651
