Wallet, Value
0x8e841ddc4a5a0c8792434975c6f2e7f16c085cbe, 32.62416203568549460448535169939702
0x4c29bd9a2a35fd2a84d851659ea647f7308278cf, 25.10344658090614850435157757178667
0x660b143181cd5667fbd4e2f498adfb7dc61b1c9c, 27.89463652924114390396563807695309
0x9261afe8de1f6323e6e27811b584b2fbcae71498, 35.66312333511332604875752965551394
0x41697ac7431a286cd7352823e673ad16eb4f7345, 38.38491771028598387624086819108555
0x7eeacbfa42c3ae00be61bf1ba192c80fa0027b5e, 42.38920400201149960141633157722327
0xb4ec8c869c9b4feb468aff4632a4dc78b66c2353, 40.30374723239578216376739340423584
0x7c48942a9abb5b0a7c8b58ba6bb42d2bd83e939c, 43.35503011116305215966555203367652
0x31000adcd6476b052cc1baa9c80c4af373bebbf9, 47.00286360876211280670187005659773
0xd0fe1309b6c214a0f9f15e2fbd0ad13662c94fbe, 46.45332003592730303570836749941675
0x53d5d3135d6dfa4639c8e8c0560da2db99fa64de, 52.31683405846205829730349400402215
0x727ca0d2ccec78c26f7b5db7af5ed90039f4afc9, 225.3464688330882018393242970448456
0x462cbf504a5bb25a13a719b222c6a379145f2aae, 174.8846188277740864304728909914899
0x23371fc655df898ab820c6df56aea50db546f05e, 37.23281478827790963839298771093541
0x2272d4bed74858950f16c176b9377c0c4b118a90, 93.72163259734537198008575500318344
0x4c29bd9a2a35fd2a84d851659ea647f7308278cf, 178.5636353161695190902427920149447
0xcb43a925b403caa96e691f71c41c88ce8c2fdf97, 93.70236411456243587641346238544875
0xee3be4aec139b084c85ea9d22a8cb2ac572f3610, 207.4468397846576497039766826512271
0xac7b282d19dc128f51091d682578fe3dd2600321, 186.3212238865390149095814611294177
0x98b2e61d7cbe0d588f9e0731edd4773fce49106c, 115.3301804608507466979922937490367
0x0f66a9a68ecfd417883561f04f593e1a7512a8f4, 225.0619321671710011511778390604914
0x6eadcaf81785945e0dc912ce59cbb3260018a218, 84.27041291648076888780309215394102
